Technologies,Local,Lifetime,Included_in_real_cost_2021
AMMONIA_STORAGE,0,20,0
AMMONIA_TO_H2,0,25,0
ATM_CCS,0,40,0
BATT_LI,0.1,15,0
BEV_BATT,0,1,0
BIO_HYDROLYSIS,0,15,0
BIOMASS_TO_HVC,0,20,0
BIOMASS_TO_METHANOL,0,20,0
BIOMASS_TO_POWER,0.6,35,1
BIOMETHANATION,0,20,0
BOAT_FREIGHT_DIESEL,0.07,40,0
BOAT_FREIGHT_METHANOL,0,40,0
BOAT_FREIGHT_NG,0.06,40,0
BUS_COACH_CNG_STOICH,0.09,15,0
BUS_COACH_DIESEL,0.24,15,0
BUS_COACH_DIESEL_BIS,0.24,15,0
BUS_COACH_FC_HYBRIDH2,0,15,0
BUS_COACH_GASOLINE,0.14,15,0
BUS_COACH_HYDIESEL,0.04,15,0
CAES,0,50,0
CAR_BEV,0.005,10,0
CAR_DIESEL,0.14,10,0
CAR_FUEL_CELL,0,10,0
CAR_GASOLINE,0.32,10,0
CAR_GASOLINE_BIS,0.32,10,0
CAR_HEV,0.04,10,0
CAR_METHANOL,0.01,10,0
CAR_NG,0.1,10,0
CAR_PHEV,0.03,10,0
CCGT,0.5,25,1
CCGT_AMMONIA,0,25,1
CO2_STORAGE,0,20,1
COAL_STOVE,0.7,17,1
IMPORTED_COAL_CENTRAL,0.8,35,1
LOCAL_COAL_CENTRAL,0.8,35,1
DAM_STORAGE,0.8,40,1
DEC_ADVCOGEN_GAS,0.1,20,1
DEC_ADVCOGEN_H2,0,20,1
DEC_BOILER_GAS,0.5,17,1
DEC_BOILER_OIL,0.6,17,1
DEC_BOILER_WOOD,0.4,17,1
DEC_COGEN_GAS,0.5,20,1
DEC_COGEN_OIL,0.6,20,1
DEC_DIRECT_ELEC,0,15,1
DEC_ELEC_COLD,0.5,18,1
DEC_HP_ELEC,0.3,18,1
DEC_SOLAR,0,20,1
DEC_THHP_GAS,0.4,20,1
DEC_THHP_GAS_COLD,0.6,20,1
DHN,0.6,60,1
DHN_BOILER_GAS,0.6,17,1
DHN_BOILER_OIL,0.7,17,1
DHN_BOILER_WOOD,0.5,17,1
DHN_COGEN_BIO_HYDROLYSIS,0,15,1
DHN_COGEN_GAS,0.5,25,1
DHN_COGEN_WASTE,0.4,25,1
DHN_COGEN_WET_BIOMASS,0.2,25,1
DHN_COGEN_WOOD,0.3,25,1
DHN_DEEP_GEO,0,30,1
DHN_HP_ELEC,0.4,25,1
DHN_SOLAR,0.1,30,1
DIESEL_STORAGE,0.8,20,1
EFFICIENCY,0.5,1,0
GAS_STORAGE,0.7,30,1
GAS_TO_HVC,0,25,1
GASIFICATION_SNG,0,25,1
GASOLINE_STORAGE,0.7,20,1
GEOTHERMAL,0,30,1
GRID,0.6,80,1
H2_BIOMASS,0,25,0
H2_ELECTROLYSIS,0,15,0
H2_INFRASTRUCTURE,0.6,40,0
CHARGING_STATION,0.6,10,0
H2_STORAGE,0,20,0
HABER_BOSCH,0,20,0
HVAC_LINE,0.3,40,1
HYDRO_DAM,0.7,40,1
HYDRO_RIVER,0.5,40,1
IND_BOILER_COAL,0.8,17,1
IND_BOILER_GAS,0.7,17,1
IND_BOILER_OIL,0.8,17,1
IND_BOILER_WASTE,0,17,1
IND_BOILER_WOOD,0,17,1
IND_COGEN_GAS,0.6,25,1
IND_COGEN_WASTE,0,25,1
IND_COGEN_WOOD,0,25,1
IND_DIRECT_ELEC,0.3,15,1
IND_ELEC_COLD,0.4,20,1
INDUSTRY_CCS,0,40,0
LFO_STORAGE,0.6,20,0
METHANE_TO_METHANOL,0,25,0
METHANOL_STORAGE,0,20,0
METHANOL_TO_HVC,0,20,0
MOTORCYCLE,0.28,10,0
MOTORCYCLE_ELECTRIC,0.01,10,0
OIL_TO_HVC,0,15,0
PHEV_BATT,0,1,0
PHS,0,50,1
PV,0.1,25,1
PYROLYSIS_TO_FUELS,0,25,0
PYROLYSIS_TO_LFO,0,25,0
SMR,0,25,0
SYN_METHANATION,0,40,0
SYN_METHANOLATION,0,20,0
TRAIN_FREIGHT,0.08,40,1
TRAIN_PUB,0,40,1
TRAMWAY_TROLLEY,0.105,30,1
TRUCK_DIESEL,0.28,15,0
TRUCK_DIESEL_BIS,0.28,15,0
TRUCK_ELEC,0.02,15,0
TRUCK_FUEL_CELL,0,15,0
TRUCK_GASOLINE,0.3,15,0
TRUCK_GASOLINE_BIS,0.3,15,0
TRUCK_METHANOL,0.0001,15,0
TRUCK_NG,0.03,15,0
TS_COAL_STOVE,0.7,25,1
TS_COLD,0,20,1
TS_DEC_ADVCOGEN_GAS,0,25,1
TS_DEC_ADVCOGEN_H2,0,25,1
TS_DEC_BOILER_GAS,0,25,1
TS_DEC_BOILER_OIL,0.6,25,1
TS_DEC_BOILER_WOOD,0,25,1
TS_DEC_COGEN_GAS,0.3,25,1
TS_DEC_COGEN_OIL,0,25,1
TS_DEC_DIRECT_ELEC,0.3,25,1
TS_DEC_HP_ELEC,0.1,25,1
TS_DEC_THHP_GAS,0.25,25,1
TS_DHN_DAILY,0.7,40,1
TS_DHN_SEASONAL,0.6,25,1
TS_HIGH_TEMP,0.5,25,1
WIND_OFFSHORE,0,30,1
WIND_ONSHORE,0.3,30,1
